sno	職種	平均年収	労働時間
64	航空機操縦士	16946100	141
8	医師	11692300	171
31	大学教授	11006200	155
32	大学准教授	8723600	156
36	記者	7922200	163
28	不動産鑑定士	7545900	146
25	弁護士	7285600	161
33	大学講師	7189400	156
30	高等学校教員	7093600	163
4	一級建築士	7028800	182
26	公認会計士、税理士	6835500	170
1	自然科学系研究者	6812500	163
3	技術士	6669300	170
55	電車運転士	6188000	162
118	掘削・発破工	6170000	209
56	電車車掌	5720800	156
10	獣医師	5715600	175
9	歯科医師	5701000	160
6	システム・エンジニア	5689000	170
11	薬剤師	5616500	171
127	港湾荷役作業員	5326600	201
116	発電・変電工	5184800	169
71	圧延伸張工	5182900	178
44	自動車外交販売員	5142600	186
113	クレーン運転工	5102400	201
94	自動車組立工	5066700	178
57	旅客掛	5051300	175
34	各種学校・専修学校教員	5039000	169
15	診療放射線・診療エックス線技師	5019500	169
65	航空機客室乗務員	4959100	148
2	化学分析員	4949400	165
66	製鋼工	4914000	183
67	非鉄金属精錬工	4901500	176
88	機械修理工	4892400	183
27	社会保険労務士	4860200	181
12	看護師	4829100	161
69	型鍛造工	4825700	184
111	機械製図工	4803100	180
73	一般化学工	4762300	173
117	電気工	4724600	192
5	測量技術者	4687700	179
124	配管工	4665000	198
61	営業用バス運転者	4663200	203
45	家庭用品外交販売員	4648100	183
16	臨床検査技師	4612200	169
70	鉄鋼熱処理工	4566400	189
62	営業用大型貨物自動車運転者	4556100	215
68	鋳物工	4544900	188
77	旋盤工	4506900	192
121	鉄筋工	4452100	171
80	鉄工	4439700	193
75	ガラス製品工	4411900	172
95	自動車整備工	4408200	187
91	半導体チップ製造工	4389500	172
115	玉掛け作業員	4377600	194
85	溶接工	4370700	193
108	オフセット印刷工	4343700	186
74	化繊紡糸工	4331200	169
37	デザイナー	4327600	174
86	機械組立工	4326200	178
110	金属・建築塗装工	4295800	192
78	フライス盤工	4294100	200
7	プログラマー	4258000	173
105	製紙工	4242400	177
81	板金工	4223000	191
114	建設機械運転工	4209400	189
82	電気めっき工	4201400	186
63	営業用普通・小型貨物自動車運転者	4194400	208
76	陶磁器工	4184000	172
89	重電機器組立工	4172900	173
122	大工	4149100	192
107	プロセス製版工	4104200	186
17	理学療法士、作業療法士	4096400	163
59	自家用貨物自動車運転者	4068300	196
87	機械検査工	4057500	177
46	保険外交員	4051500	137
13	准看護師	4030400	161
79	金属プレス工	4001600	190
109	合成樹脂製品成形工	3968400	185
35	個人教師、塾・予備校講師	3936900	175
22	介護支援専門員（ケアマネージャー）	3930400	166
120	とび工	3930000	187
126	土工	3929500	178
84	仕上工	3927100	190
119	型枠大工	3884000	176
123	左官	3866100	190
19	歯科技工士	3847900	186
83	バフ研磨工	3846300	181
106	紙器工	3823100	187
112	ボイラー工	3821500	179
40	電子計算機オペレーター	3807000	169
18	歯科衛生士	3704800	168
29	幼稚園教諭	3667100	167
21	保育士（保母・保父）	3634600	167
72	金属検査工	3629400	177
125	はつり工	3611500	169
104	建具製造工	3606200	187
58	自家用乗用自動車運転者	3583800	179
60	タクシー運転者	3575800	193
38	ワープロ・オペレーター	3569400	175
20	栄養士	3565000	171
24	福祉施設介護員	3465700	167
102	木型工	3439100	186
103	家具工	3430900	189
90	通信機器組立工	3414400	175
49	調理士	3413400	183
96	パン・洋生菓子製造工	3406500	188
101	製材工	3403500	187
42	販売店員（百貨店店員を除く。）	3336900	177
54	守衛	3313900	176
23	ホームヘルパー	3277000	168
53	警備員	3266400	192
52	娯楽接客員	3258400	171
41	百貨店店員	3248100	164
92	プリント配線工	3234500	184
98	織布工	3213100	172
47	理容・美容師	3114000	181
51	給仕従事者	3062900	182
14	看護補助者	3031900	157
39	キーパンチャー	2982200	157
93	軽電機器検査工	2948500	176
129	用務員	2821400	165
97	精紡工	2743600	180
48	洗たく工	2690100	177
50	調理士見習	2634100	181
128	ビル清掃員	2609100	172
43	スーパー店チェッカー	2497100	170
99	洋裁工	2204300	185
100	ミシン縫製工	2175300	182
