日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2022/5/13,7186,7219,7162,7202,7363,7485.8,7014.33,7187.5081,139844,117569,156928.24
2022/5/12,7363,7386,7330,7332,7424.6,7485.6,7002.93,7361.5884,97782,110632.8,153239.8
2022/5/11,7306,7335,7302,7319,7465.8,7482,6990.24,7315.3859,92629,121480.6,153923.8
2022/5/10,7420,7449,7370,7438,7493.6,7476.12,6977.73,7400.437,162188,128754,153690.16
2022/5/9,7526,7535,7519,7524,7492,7465.56,6963.54,7527.5571,95402,117840,151224.2
2022/5/6,7481,7519,7469,7510,7483.2,7455.6,6948.72,7493.9759,105163,154450.8,153351.4
2022/5/2,7542,7551,7509,7538,7485,7446.4,6934.32,7532.6041,152021,185043.4,154962.6
2022/4/28,7413,7470,7410,7458,7508.6,7436.68,6918.88,7435.9821,128996,178871.8,153522.2
2022/4/27,7434,7438,7411,7430,7551,7426.48,6904.17,7426.0778,107618,187281.4,153045.28
2022/4/26,7409,7482,7403,7480,7596.6,7413.52,6890.46,7430.583,278456,216374.6,152691.16
2022/4/25,7604,7606,7513,7519,7650.8,7399.72,6876.97,7548.3415,258126,219604.6,144702.28
2022/4/22,7676,7687,7650,7656,7690.2,7379.76,6862.04,7671.1266,121163,223661.2,139904.8
2022/4/21,7678,7692,7662,7670,7698.8,7354.48,6844.56,7678.6372,171044,246988.8,138655
2022/4/20,7720,7720,7625,7658,7680.4,7324.92,6827.06,7682.2151,253084,248580.2,136639.16
2022/4/19,7743,7756,7714,7751,7666.6,7296.6,6809.98,7733.5742,294606,237555.4,137317.4
2022/4/18,7721,7731,7695,7716,7623.4,7270.24,6791.14,7719.829,278409,218816.2,131171.52
2022/4/15,7636,7708,7608,7699,7569,7244.08,6772.76,7656.8619,237801,192000.4,125652.56
2022/4/14,7598,7600,7558,7578,7493,7218.24,6754.45,7585.3516,179001,157428.2,126094.32
2022/4/13,7571,7591,7550,7589,7431,7205.76,6736.76,7570.9911,197960,129587.8,135986.28
2022/4/12,7503,7536,7480,7535,7369,7184.92,6719.01,7514.8618,200910,108141.8,137293.4
2022/4/11,7398,7444,7386,7444,7308.6,7164.92,6702.16,7410.9636,144330,74200.6,143355.08
2022/4/8,7322,7328,7298,7319,7259.2,7141.36,6686.74,7316.7125,64940,54861.2,146389.4
2022/4/7,7278,7284,7255,7268,7243.8,7120.72,6672.3,7271.1072,39799,64849.6,148884.72
2022/4/6,7253,7288,7246,7279,7224.6,7102.2,6657.66,7264.5364,90730,74247.4,153685.16
2022/4/5,7243,7253,7210,7233,7203.6,7079.4,6643.7,7233.0078,31204,76209.2,154398.12
2022/4/4,7216,7216,7183,7197,7212,7059.4,6630.13,7202.0983,47633,99684.8,161466.92
2022/4/1,7205,7257,7200,7242,7228.6,7040.72,6616.69,7227.1367,114882,119246.8,170625.68
