date,gold_終値,gold_出来高,ドル円_終値,NYダウ_終値,NYダウ_出来高,長期国債先物_終値,長期国債先物_出来高,日経平均_終値,日経平均_出来高
2021-11-15,6450,154386,114,36087,280655990,151,24108,29776,60425
2021-11-16,6500,172173,114,36142,311904341,151,30649,29808,61984
2021-11-17,6510,92535,114,35931,358310249,151,23598,29688,63904
2021-11-18,6510,79989,114,35870,435080049,151,41543,29598,65409
2021-11-19,6480,69278,113,35601,414653520,151,27719,29745,65573
2021-11-22,6430,119993,114,35619,420805312,151,21239,29774,58770
2021-11-24,6310,116537,115,35804,287941274,151,28998,29302,69530
2021-11-25,6320,79587,115,34489.5,388087442,151,31848,29499,50712
2021-11-26,6300,84598,113,34899,325393641,151,23964,28751,72874
2021-11-29,6229,118244,113,35135,416044303,151,32726,28283,85911
2021-11-30,6225,76149,113,34483,678797563,151,35863,27821,140663
2021-12-01,6229,152892,112,34022,498376683,151,36476,27935,80876
2021-12-02,6168,136178,113,34639,470580624,151,38948,27753,77419
2021-12-03,6165,113743,112,34580,444848392,152,33258,28029,71908
2021-12-06,6182,61707,113,35227,418749151,152,28597,27927,61686
2021-12-07,6209,39279,113,35719,482893430,152,35164,28455,78268
2021-12-08,6238,57519,113,35754,387651112,152,24935,28860,71988
2021-12-09,6232,34974,113,35754,353020799,152,22493,28725,54377
2021-12-10,6189,52177,113,35970,361198734,151,7317,28437,63361
2021-12-13,6215,56017,113,35650,451585946,151,2081,28640,53538
2021-12-14,6232,42170,113,35544,451234698,152,20856,28432,55249
2021-12-15,6170,91857,114,35927,432378991,152,21900,28459,55877
2021-12-16,6236,85344,113,35897,482768771,152,23673,29066,60266
2021-12-17,6288,59190,113,35365,760825908,152,21578,28545,84449
2021-12-20,6271,67628,113,34932,388890517,152,17796,27937,65176
2021-12-21,6258,29282,114,35492,349666606,152,21381,28517,55781
2021-12-22,6251,29094,114,35753,290725286,151,25499,28562,44653
2021-12-23,6326,71575,114,35950,250941712,151,20510,28798,43563
2021-12-24,6337,28559,114,34489.5,388087442,151,12566,28782,35908
2021-12-27,6338,101524,114,36302,250260983,151,8029,28676,37487
2021-12-28,6377,70240,114,36398,239087792,151,10770,29069,47040
2021-12-29,6358,44978,114,36488,214403952,151,12203,28906,44711
2021-12-30,6345,51120,115,36398,207644664,151,27423,28791,40388
2022-01-04,6399,65201,116,36799,435084267,151,30028,29301,66037
2022-01-05,6468,228578,116,36407,468455424,151,36968,29332,78625
2022-01-06,6402,93446,115,36236,390187536,151,45761,28487,71591
2022-01-07,6355,68921,115,36231,361423366,150,36916,28478,75171
2022-01-11,6380,37294,115,36252,363192772,150,49957,28222,73706
2022-01-12,6430,36418,114,36290,317858592,151,43268,28765,72547
2022-01-13,6412,37085,114,36113,349737971,151,32909,28489,69881
2022-01-14,6374,73380,114,35911,396471653,150,50953,28124,82067
2022-01-17,6381,23739,114,34489.5,388087442,150,29048,28333,54480
